id,average_draft_position,first_name,last_name,injury_status,years_experience,headshot_url
4372561,259.5,Isaac,Guerendo,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4372561.png
4367209,260.0,Greg,Dulcich,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4367209.png
3924365,263.0,Hayden,Hurst,questionable,7,https://a.espncdn.com/i/headshots/nfl/players/full/3924365.png
22,263.0,New England,Patriots,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ne.png
4366963,263.5,Dylan,Laube,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4366963.png
6,264.5,Chicago,Bears,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/chi.png
4242557,266.0,Colby,Parkinson,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4242557.png
4260394,267.0,Aidan,O'Connell,injured_reserve,2,https://a.espncdn.com/i/headshots/nfl/players/full/4260394.png
3125116,267.0,D'Onta,Foreman,,6,https://a.espncdn.com/i/headshots/nfl/players/full/3125116.png
4686781,267.0,Brenden,Rice,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4686781.png
10,268.0,Denver,Broncos,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/den.png
4372414,268.0,Elijah,Moore,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4372414.png
3115394,269.0,DJ,Chark,injured_reserve,7,https://a.espncdn.com/i/headshots/nfl/players/full/3115394.png
14,273.0,Indianapolis,Colts,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ind.png
16733,273.0,Odell,Beckham,,10,https://a.espncdn.com/i/headshots/nfl/players/full/16733.png
21,274.0,Minnesota,Vikings,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/min.png
4045163,275.0,Miles,Sanders,,6,https://a.espncdn.com/i/headshots/nfl/players/full/4045163.png
24,275.0,New York,Giants,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyg.png
4696882,275.0,Devontez,Walker,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4696882.png
15807,276.0,Cordarrelle,Patterson,out,12,https://a.espncdn.com/i/headshots/nfl/players/full/15807.png
3916945,276.5,Darius,Slayton,,6,https://a.espncdn.com/i/headshots/nfl/players/full/3916945.png
12,277.0,Green Bay,Packers,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png
3930086,277.0,Dawson,Knox,,6,https://a.espncdn.com/i/headshots/nfl/players/full/3930086.png
3059722,277.0,Zay,Jones,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3059722.png
4572680,279.0,Tucker,Kraft,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4572680.png
4692590,281.0,Jalin,Hyatt,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4692590.png
4569382,284.0,Jordan,Whittington,questionable,0,https://a.espncdn.com/i/headshots/nfl/players/full/4569382.png
4429086,285.5,Michael,Mayer,out,2,https://a.espncdn.com/i/headshots/nfl/players/full/4429086.png
